variable	name	category	year	question	type	size	field	start 	 end
PS415Q08R	SCIE - P2006 Solar Panels Q8 - original responses	SCIE	2006	Solar Panels Q8 - original responses	Char	3 	252	358	360
PS438Q01R	SCIE - P2006 Green Parks Q1 - original responses	SCIE	2006	Green Parks Q1 - original responses	Char	3 	253	361	363
PS466Q01R	SCIE - P2006 Forest Fires Q1 - original responses	SCIE	2006	Forest Fires Q1 - original responses	Char	3 	254	364	366
PS466Q07R	SCIE - P2006 Forest Fires Q7 - original responses	SCIE	2006	Forest Fires Q7 - original responses	Char	2 	255	367	368
PS478Q02R	SCIE - P2006 Antibiotics Q2 - original responses	SCIE	2006	Antibiotics Q2 - original responses	Char	3 	256	369	371
PS478Q03R	SCIE - P2006 Antibiotics Q3 - original responses	SCIE	2006	Antibiotics Q3 - original responses	Char	2 	257	372	373
PS498Q02R	SCIE - P2006 Experimental Digestion Q2 - original responses	SCIE	2006	Experimental Digestion Q2 - original responses	Char	3 	258	374	376
PS519Q02R	SCIE - P2006 Airbags Q2 - original responses	SCIE	2006	Airbags Q2 - original responses	Char	2 	259	377	378
PS527Q01R	SCIE - P2006 Extinction of the Dinosaurs Q1 - original responses	SCIE	2006	Extinction of the Dinosaurs Q1 - original responses	Char	3 	260	379	381
PS527Q03R	SCIE - P2006 Extinction of the Dinosaurs Q3 - original responses	SCIE	2006	Extinction of the Dinosaurs Q3 - original responses	Char	3 	261	382	384
PS527Q04R	SCIE - P2006 Extinction of the Dinosaurs Q4 - original responses	SCIE	2006	Extinction of the Dinosaurs Q4 - original responses	Char	3 	262	385	387
TESTLANG	Test Language	ID	0	Test Language	Char	3 	263	388	390
VERSION	Verison	ID	0	Verison	Char	7 	264	390	396
