variable	value	result	frequency	percent
PM995Q01	7	N/A	376929	77.64
PM995Q01	9	Missing	11159	2.3
PM995Q01	r	Not reached	1936	0.4
PM995Q02	0	No credit	72609	14.96
PM995Q02	1	Full credit	4209	0.87
PM995Q02	7	N/A	376927	77.64
PM995Q02	9	Missing	29648	6.11
PM995Q02	r	Not reached	2097	0.43
PM995Q03	1	No credit	11932	2.46
PM995Q03	2	No credit	17188	3.54
PM995Q03	3	No credit	26274	5.41
PM995Q03	4	Full credit	46904	9.66
PM995Q03	7	N/A	377204	77.7
PM995Q03	8	Invalid	157	0.03
PM995Q03	9	Missing	3546	0.73
PM995Q03	r	Not reached	2285	0.47
PM998Q02	0	No credit	44344	9.13
PM998Q02	1	Full credit	91772	18.9
PM998Q02	7	N/A	336585	69.33
PM998Q02	9	Missing	6855	1.41
PM998Q02	r	Not reached	5934	1.22
PM998Q04T	0	No credit	33736	6.95
PM998Q04T	1	No credit	51416	10.59
PM998Q04T	2	Full credit	53929	11.11
PM998Q04T	7	N/A	336584	69.33
PM998Q04T	8	Invalid	78	0.02
PM998Q04T	9	Missing	3223	0.66
PM998Q04T	r	Not reached	6524	1.34
PR220Q01	0	No credit	51135	10.53
PR220Q01	1	Full credit	44139	9.09
PR220Q01	7	N/A	339384	69.91
PR220Q01	9	Missing	44660	9.2
PR220Q01	r	Not reached	6172	1.27
PR220Q02B	1	Full credit	77412	15.95
PR220Q02B	2	No credit	17368	3.58
PR220Q02B	3	No credit	19758	4.07
PR220Q02B	4	No credit	14806	3.05
PR220Q02B	7	N/A	339387	69.91
PR220Q02B	8	Invalid	409	0.08
PR220Q02B	9	Missing	8315	1.71
PR220Q02B	r	Not reached	8035	1.66
PR220Q04	1	No credit	16002	3.3
PR220Q04	2	No credit	14431	2.97
PR220Q04	3	No credit	25251	5.2
PR220Q04	4	Full credit	73978	15.24
PR220Q04	7	N/A	339390	69.91
PR220Q04	8	Invalid	894	0.18
PR220Q04	9	Missing	7078	1.46
PR220Q04	r	Not reached	8466	1.74
PR404Q03	1	Full credit	103022	21.22
PR404Q03	2	No credit	17350	3.57
PR404Q03	3	No credit	6332	1.3
PR404Q03	4	No credit	13089	2.7
PR404Q03	7	N/A	339230	69.87
PR404Q03	8	Invalid	917	0.19
PR404Q03	9	Missing	3462	0.71
PR404Q03	r	Not reached	2088	0.43
PR404Q06	1	No credit	61147	12.59
PR404Q06	2	Full credit	63524	13.08
PR404Q06	3	No credit	10441	2.15
PR404Q06	4	No credit	4995	1.03
PR404Q06	7	N/A	339236	69.87
PR404Q06	8	Invalid	1158	0.24
PR404Q06	9	Missing	2505	0.52
PR404Q06	r	Not reached	2484	0.51
PR404Q07T	0	No credit	9692	2
PR404Q07T	1	No credit	30451	6.27
PR404Q07T	2	No credit	59011	12.15
PR404Q07T	3	Full credit	40695	8.38
PR404Q07T	7	N/A	340792	70.2
PR404Q07T	8	Invalid	42	0.01
PR404Q07T	9	Missing	2264	0.47
PR404Q07T	r	Not reached	2543	0.52
PR404Q10A	0	No credit	59438	12.24
PR404Q10A	1	Full credit	55958	11.53
PR404Q10A	7	N/A	339243	69.88
PR404Q10A	9	Missing	28076	5.78
PR404Q10A	r	Not reached	2775	0.57
PR404Q10B	0	No credit	67210	13.84
PR404Q10B	1	Full credit	45810	9.44
PR404Q10B	7	N/A	339244	69.88
PR404Q10B	9	Missing	29731	6.12
PR404Q10B	r	Not reached	3495	0.72
PR406Q01	0	No credit	43451	8.95
PR406Q01	1	Full credit	86181	17.75
PR406Q01	7	N/A	341483	70.34
PR406Q01	9	Missing	10839	2.23
PR406Q01	r	Not reached	3536	0.73
PR406Q02	0	No credit	70310	14.48
PR406Q02	1	Full credit	49158	10.13
PR406Q02	7	N/A	339258	69.88
PR406Q02	9	Missing	22355	4.6
PR406Q02	r	Not reached	4409	0.91
PR406Q05	0	No credit	32336	6.66
PR406Q05	1	Full credit	97856	20.16
PR406Q05	7	N/A	339254	69.88
PR406Q05	9	Missing	11896	2.45
PR406Q05	r	Not reached	4148	0.85
PR412Q01	1	No credit	7965	1.64
PR412Q01	2	No credit	4485	0.92
PR412Q01	3	Full credit	120756	24.87
PR412Q01	4	No credit	6871	1.42
PR412Q01	5	No credit	4556	0.94
PR412Q01	7	N/A	333741	68.74
PR412Q01	8	Invalid	401	0.08
PR412Q01	9	Missing	2037	0.42
PR412Q01	r	Not reached	4678	0.96
PR412Q05	1	No credit	30818	6.35
PR412Q05	2	No credit	23455	4.83
PR412Q05	3	Full credit	78208	16.11
PR412Q05	4	No credit	10739	2.21
PR412Q05	7	N/A	333743	68.74
PR412Q05	8	Invalid	1069	0.22
PR412Q05	9	Missing	2323	0.48
PR412Q05	r	Not reached	5135	1.06
PR412Q06T	0	No credit	49797	10.26
PR412Q06T	1	No credit	38747	7.98
PR412Q06T	2	Full credit	53839	11.09
PR412Q06T	7	N/A	333752	68.75
PR412Q06T	8	Invalid	52	0.01
PR412Q06T	9	Missing	3208	0.66
PR412Q06T	r	Not reached	6095	1.26
PR412Q08	0	No credit	58048	11.96
PR412Q08	1	Full credit	47387	9.76
PR412Q08	7	N/A	333764	68.75
PR412Q08	9	Missing	40878	8.42
PR412Q08	r	Not reached	5413	1.11
PR420Q02	0	No credit	26589	5.48
PR420Q02	1	Full credit	115991	23.89
PR420Q02	7	N/A	334512	68.9
PR420Q02	9	Missing	6046	1.25
PR420Q02	r	Not reached	2352	0.48
PR420Q06	0	No credit	80482	16.58
PR420Q06	1	Full credit	59442	12.24
PR420Q06	7	N/A	333763	68.75
PR420Q06	9	Missing	8846	1.82
PR420Q06	r	Not reached	2957	0.61
PR420Q09	0	No credit	31063	6.4
PR420Q09	1	Full credit	109823	22.62
PR420Q09	7	N/A	333754	68.75
PR420Q09	9	Missing	7675	1.58
PR420Q09	r	Not reached	3175	0.65
PR420Q10	0	No credit	30123	6.2
PR420Q10	1	Partial credit	5786	1.19
PR420Q10	2	Full credit	91775	18.9
PR420Q10	7	N/A	336426	69.3
PR420Q10	9	Missing	18690	3.85
PR420Q10	r	Not reached	2690	0.55
PR424Q02T	0	No credit	8239	1.7
PR424Q02T	1	No credit	35739	7.36
PR424Q02T	2	No credit	38942	8.02
PR424Q02T	3	Full credit	56817	11.7
PR424Q02T	7	N/A	339215	69.87
PR424Q02T	8	Invalid	45	0.01
PR424Q02T	9	Missing	4942	1.02
PR424Q02T	r	Not reached	1551	0.32
PR424Q03	1	No credit	25364	5.22
PR424Q03	2	Full credit	88396	18.21
PR424Q03	3	No credit	8304	1.71
PR424Q03	4	No credit	16550	3.41
PR424Q03	7	N/A	339220	69.87
PR424Q03	8	Invalid	886	0.18
PR424Q03	9	Missing	4890	1.01
PR424Q03	r	Not reached	1880	0.39
PR424Q07	1	Full credit	106783	21.99
PR424Q07	2	No credit	11306	2.33
PR424Q07	3	No credit	10632	2.19
PR424Q07	4	No credit	9603	1.98
PR424Q07	7	N/A	339225	69.87
PR424Q07	8	Invalid	963	0.2
PR424Q07	9	Missing	4969	1.02
PR424Q07	r	Not reached	2009	0.41
PR432Q01	0	No credit	22817	4.7
PR432Q01	1	Full credit	113012	23.28
PR432Q01	7	N/A	339380	69.9
PR432Q01	9	Missing	5868	1.21
PR432Q01	r	Not reached	4413	0.91
PR432Q05	0	No credit	39351	8.11
PR432Q05	1	Full credit	94942	19.56
PR432Q05	7	N/A	339388	69.91
PR432Q05	9	Missing	6778	1.4
PR432Q05	r	Not reached	5031	1.04
PR432Q06T	0	No credit	379	0.08
PR432Q06T	1	No credit	2011	0.41
PR432Q06T	2	No credit	4175	0.86
PR432Q06T	3	No credit	8829	1.82
PR432Q06T	4	No credit	13175	2.71
PR432Q06T	5	No credit	17512	3.61
PR432Q06T	6	No credit	19799	4.08
PR432Q06T	7	N/A	339390	69.91
PR432Q06T	8	Invalid	260	0.05
PR432Q06T	9	Missing	8000	1.65
PR432Q06T	A	No credit	25082	5.17
PR432Q06T	B	No credit	23800	4.9
PR432Q06T	C	Full credit	17679	3.64
PR432Q06T	r	Not reached	5399	1.11
PR437Q01	1	Full credit	68078	14.02
PR437Q01	2	No credit	32514	6.7
PR437Q01	3	No credit	32119	6.62
PR437Q01	4	No credit	5865	1.21
PR437Q01	7	N/A	335258	69.06
PR437Q01	8	Invalid	1332	0.27
PR437Q01	9	Missing	4073	0.84
PR437Q01	r	Not reached	6251	1.29
PR437Q06	1	No credit	22021	4.54
PR437Q06	2	Full credit	71628	14.75
PR437Q06	3	No credit	23091	4.76
PR437Q06	4	No credit	21856	4.5
PR437Q06	7	N/A	334827	68.97
PR437Q06	8	Invalid	701	0.14
PR437Q06	9	Missing	3342	0.69
PR437Q06	r	Not reached	8024	1.65
PR437Q07	0	No credit	92728	19.1
PR437Q07	1	Full credit	20821	4.29
PR437Q07	7	N/A	333779	68.75
PR437Q07	9	Missing	30613	6.31
PR437Q07	r	Not reached	7549	1.55
PR446Q03	0	No credit	10521	2.17
PR446Q03	1	Full credit	126457	26.05
PR446Q03	7	N/A	339374	69.9
PR446Q03	9	Missing	5134	1.06
PR446Q03	r	Not reached	4004	0.82
PR446Q06	0	No credit	33548	6.91
PR446Q06	1	Full credit	101569	20.92
PR446Q06	7	N/A	339377	69.9
PR446Q06	9	Missing	6736	1.39
PR446Q06	r	Not reached	4260	0.88
PR453Q01	1	Full credit	112780	23.23
PR453Q01	2	No credit	7466	1.54
PR453Q01	3	No credit	11759	2.42
PR453Q01	4	No credit	10571	2.18
PR453Q01	7	N/A	333754	68.75
PR453Q01	8	Invalid	1458	0.3
PR453Q01	9	Missing	4346	0.9
PR453Q01	r	Not reached	3356	0.69
PR453Q04	0	No credit	44544	9.18
PR453Q04	1	Full credit	84797	17.47
PR453Q04	7	N/A	333755	68.75
PR453Q04	9	Missing	18544	3.82
PR453Q04	r	Not reached	3850	0.79
PR453Q05T	0	No credit	2298	0.47
PR453Q05T	1	No credit	9638	1.99
PR453Q05T	2	No credit	21475	4.42
PR453Q05T	3	No credit	28963	5.97
PR453Q05T	4	Full credit	81748	16.84
PR453Q05T	7	N/A	333757	68.75
PR453Q05T	8	Invalid	38	0.01
PR453Q05T	9	Missing	3535	0.73
PR453Q05T	r	Not reached	4038	0.83
PR453Q06	0	No credit	32272	6.65
PR453Q06	1	Full credit	94583	19.48
PR453Q06	7	N/A	334824	68.97
PR453Q06	9	Missing	19629	4.04
PR453Q06	r	Not reached	4182	0.86
PR455Q02	0	No credit	79631	16.4
PR455Q02	1	Full credit	47217	9.73
PR455Q02	7	N/A	338132	69.65
PR455Q02	9	Missing	15712	3.24
PR455Q02	r	Not reached	4798	0.99
PR455Q03	0	No credit	23264	4.79
PR455Q03	1	Full credit	105326	21.69
PR455Q03	7	N/A	338137	69.65
PR455Q03	9	Missing	13420	2.76
PR455Q03	r	Not reached	5343	1.1
PR455Q04	1	No credit	15491	3.19
PR455Q04	2	No credit	24760	5.1
PR455Q04	3	No credit	10186	2.1
PR455Q04	4	Full credit	84543	17.41
PR455Q04	7	N/A	338129	69.65
PR455Q04	8	Invalid	1608	0.33
PR455Q04	9	Missing	5206	1.07
PR455Q04	r	Not reached	5567	1.15
PR455Q05T	0	No credit	3822	0.79
PR455Q05T	1	No credit	17379	3.58
PR455Q05T	2	No credit	37354	7.69
PR455Q05T	3	No credit	46002	9.48
PR455Q05T	4	Full credit	27727	5.71
PR455Q05T	7	N/A	345139	71.09
PR455Q05T	8	Invalid	36	0.01
PR455Q05T	9	Missing	2265	0.47
PR455Q05T	r	Not reached	5766	1.19
PR456Q01	1	Full credit	137808	28.39
PR456Q01	2	No credit	2212	0.46
PR456Q01	3	No credit	1463	0.3
PR456Q01	4	No credit	1598	0.33
PR456Q01	7	N/A	338233	69.67
PR456Q01	8	Invalid	220	0.05
PR456Q01	9	Missing	1783	0.37
PR456Q01	r	Not reached	2173	0.45
PR456Q02	0	No credit	28734	5.92
PR456Q02	1	Full credit	112069	23.08
PR456Q02	7	N/A	338239	69.67
PR456Q02	9	Missing	4057	0.84
PR456Q02	r	Not reached	2391	0.49
PR456Q06	0	No credit	22744	4.68
PR456Q06	1	Full credit	115664	23.82
PR456Q06	7	N/A	338237	69.67
PR456Q06	9	Missing	6244	1.29
PR456Q06	r	Not reached	2601	0.54
PR466Q02	0	No credit	68705	14.15
PR466Q02	1	Full credit	57442	11.83
PR466Q02	7	N/A	339375	69.9
PR466Q02	9	Missing	17204	3.54
PR466Q02	r	Not reached	2764	0.57
PR466Q03T	0	No credit	4173	0.86
PR466Q03T	1	No credit	24570	5.06
PR466Q03T	2	No credit	90259	18.59
PR466Q03T	3	Full credit	20122	4.14
PR466Q03T	7	N/A	339372	69.9
PR466Q03T	8	Invalid	63	0.01
PR466Q03T	9	Missing	3587	0.74
PR466Q03T	r	Not reached	3344	0.69
PR466Q06	0	No credit	21902	4.51
PR466Q06	1	Full credit	107905	22.23
PR466Q06	7	N/A	339376	69.9
PR466Q06	9	Missing	12809	2.64
PR466Q06	r	Not reached	3498	0.72
PS131Q02D	7	N/A	339495	69.93
PS131Q02D	9	Missing	22025	4.54
PS131Q02D	B	No credit	16607	3.42
PS131Q02D	C	No credit	16690	3.44
PS131Q02D	D	No credit	28432	5.86
PS131Q02D	G	Full credit	38706	7.97
PS131Q02D	H	Full credit	21102	4.35
PS131Q02D	r	Not reached	2433	0.5
PS131Q04D	7	N/A	342055	70.46
PS131Q04D	9	Missing	23220	4.78
PS131Q04D	B	No credit	29435	6.06
PS131Q04D	C	No credit	13498	2.78
PS131Q04D	D	No credit	1330	0.27
PS131Q04D	E	No credit	37667	7.76
PS131Q04D	G	Full credit	24628	5.07
PS131Q04D	H	Full credit	10889	2.24
PS131Q04D	r	Not reached	2768	0.57
PS256Q01	1	Full credit	127786	26.32
PS256Q01	2	No credit	3138	0.65
PS256Q01	3	No credit	7965	1.64
PS256Q01	4	No credit	7059	1.45
PS256Q01	7	N/A	335208	69.05
PS256Q01	8	Invalid	439	0.09
PS256Q01	9	Missing	1453	0.3
PS256Q01	r	Not reached	2442	0.5
PS269Q01	0	No credit	51848	10.68
PS269Q01	1	Full credit	76172	15.69
PS269Q01	7	N/A	336370	69.28
PS269Q01	9	Missing	19317	3.98
PS269Q01	r	Not reached	1783	0.37
PS269Q03D	7	N/A	336379	69.29
PS269Q03D	9	Missing	23615	4.86
PS269Q03D	B	No credit	19630	4.04
PS269Q03D	C	No credit	47417	9.77
PS269Q03D	G	Full credit	44691	9.21
PS269Q03D	H	Full credit	11690	2.41
PS269Q03D	r	Not reached	2068	0.43
PS269Q04T	0	No credit	8000	1.65
PS269Q04T	1	No credit	14376	2.96
PS269Q04T	2	No credit	41185	8.48
PS269Q04T	3	No credit	34954	7.2
PS269Q04T	4	Full credit	45242	9.32
PS269Q04T	7	N/A	336366	69.28
PS269Q04T	8	Invalid	46	0.01
PS269Q04T	9	Missing	3124	0.64
PS269Q04T	r	Not reached	2197	0.45
PS326Q01	0	No credit	39323	8.1
PS326Q01	1	Full credit	80536	16.59
PS326Q01	7	N/A	336343	69.28
PS326Q01	9	Missing	27613	5.69
PS326Q01	r	Not reached	1675	0.35
PS326Q02	0	No credit	35273	7.27
PS326Q02	1	Full credit	80363	16.55
PS326Q02	7	N/A	342165	70.48
PS326Q02	9	Missing	25871	5.33
PS326Q02	r	Not reached	1818	0.37
PS326Q03	1	No credit	10330	2.13
PS326Q03	2	Full credit	77473	15.96
PS326Q03	3	No credit	31133	6.41
PS326Q03	4	No credit	20154	4.15
PS326Q03	7	N/A	336333	69.28
PS326Q03	8	Invalid	371	0.08
PS326Q03	9	Missing	7536	1.55
PS326Q03	r	Not reached	2160	0.44
PS326Q04T	0	No credit	15895	3.27
PS326Q04T	1	No credit	29926	6.16
PS326Q04T	2	No credit	63301	13.04
PS326Q04T	3	Full credit	32332	6.66
PS326Q04T	7	N/A	336335	69.28
PS326Q04T	8	Invalid	53	0.01
PS326Q04T	9	Missing	5312	1.09
PS326Q04T	r	Not reached	2336	0.48
PS408Q01	1	No credit	24347	5.01
PS408Q01	2	No credit	12615	2.6
PS408Q01	3	No credit	21942	4.52
PS408Q01	4	Full credit	82452	16.98
PS408Q01	7	N/A	336372	69.29
PS408Q01	8	Invalid	2510	0.52
PS408Q01	9	Missing	2938	0.61
PS408Q01	r	Not reached	2314	0.48
PS408Q03	0	No credit	86788	17.88
PS408Q03	1	Full credit	38198	7.87
PS408Q03	7	N/A	336398	69.29
PS408Q03	9	Missing	21482	4.42
PS408Q03	r	Not reached	2624	0.54
PS408Q04T	0	No credit	4186	0.86
PS408Q04T	1	No credit	21837	4.5
PS408Q04T	2	No credit	48695	10.03
PS408Q04T	3	Full credit	69598	14.34
PS408Q04T	7	N/A	336372	69.29
PS408Q04T	8	Invalid	35	0.01
PS408Q04T	9	Missing	1966	0.4
PS408Q04T	r	Not reached	2801	0.58
PS408Q05	1	No credit	54800	11.29
PS408Q05	2	No credit	14941	3.08
PS408Q05	3	No credit	12227	2.52
PS408Q05	4	Full credit	57399	11.82
PS408Q05	7	N/A	336402	69.29
PS408Q05	8	Invalid	3069	0.63
PS408Q05	9	Missing	3746	0.77
PS408Q05	r	Not reached	2906	0.6
PS413Q04T	0	No credit	7168	1.48
PS413Q04T	1	No credit	41405	8.53
PS413Q04T	2	No credit	38839	8
PS413Q04T	3	Full credit	55417	11.41
PS413Q04T	7	N/A	336348	69.28
PS413Q04T	8	Invalid	40	0.01
PS413Q04T	9	Missing	2427	0.5
PS413Q04T	r	Not reached	3846	0.79
PS413Q05	1	No credit	12685	2.61
PS413Q05	2	Full credit	94332	19.43
PS413Q05	3	No credit	15226	3.14
PS413Q05	4	No credit	12318	2.54
PS413Q05	7	N/A	336356	69.28
PS413Q05	8	Invalid	591	0.12
PS413Q05	9	Missing	9969	2.05
PS413Q05	r	Not reached	4013	0.83
PS413Q06	0	No credit	75332	15.52
PS413Q06	1	Full credit	51541	10.62
PS413Q06	7	N/A	336354	69.28
PS413Q06	9	Missing	18956	3.9
PS413Q06	r	Not reached	3307	0.68
PS415Q02	1	No credit	10574	2.18
PS415Q02	2	No credit	9341	1.92
PS415Q02	3	No credit	8775	1.81
PS415Q02	4	Full credit	102289	21.07
PS415Q02	7	N/A	339146	69.86
PS415Q02	8	Invalid	1252	0.26
PS415Q02	9	Missing	7677	1.58
PS415Q02	r	Not reached	6436	1.33
PS415Q07T	0	No credit	10533	2.17
PS415Q07T	1	No credit	30836	6.35
PS415Q07T	2	Full credit	96284	19.83
PS415Q07T	7	N/A	339150	69.86
PS415Q07T	8	Invalid	76	0.02
PS415Q07T	9	Missing	2481	0.51
PS415Q07T	r	Not reached	6130	1.26
PS415Q08T	0	No credit	2602	0.54
PS415Q08T	1	No credit	22101	4.55
PS415Q08T	2	No credit	33520	6.9
PS415Q08T	3	Full credit	72247	14.88
PS415Q08T	7	N/A	346017	71.27
PS415Q08T	8	Invalid	44	0.01
PS415Q08T	9	Missing	2192	0.45
PS415Q08T	r	Not reached	6767	1.39
PS425Q02	1	No credit	20628	4.25
PS425Q02	2	Full credit	63830	13.15
PS425Q02	3	No credit	17586	3.62
PS425Q02	4	No credit	32299	6.65
PS425Q02	7	N/A	336363	69.28
PS425Q02	8	Invalid	1914	0.39
PS425Q02	9	Missing	5088	1.05
PS425Q02	r	Not reached	7782	1.6
PS425Q03	0	No credit	69115	14.24
PS425Q03	1	Full credit	56981	11.74
PS425Q03	7	N/A	336361	69.28
PS425Q03	9	Missing	17440	3.59
PS425Q03	r	Not reached	5593	1.15
PS425Q04	0	No credit	86012	17.72
PS425Q04	1	Full credit	34586	7.12
PS425Q04	7	N/A	336375	69.29
PS425Q04	9	Missing	20235	4.17
PS425Q04	r	Not reached	8282	1.71
PS425Q05	1	No credit	12482	2.57
PS425Q05	2	Full credit	90435	18.63
PS425Q05	3	No credit	27055	5.57
PS425Q05	4	No credit	6991	1.44
PS425Q05	7	N/A	336359	69.28
PS425Q05	8	Invalid	678	0.14
PS425Q05	9	Missing	4629	0.95
PS425Q05	r	Not reached	6861	1.41
PS428Q01	1	No credit	47977	9.88
PS428Q01	2	No credit	5700	1.17
PS428Q01	3	Full credit	79549	16.39
PS428Q01	4	No credit	7752	1.6
PS428Q01	7	N/A	337981	69.62
PS428Q01	8	Invalid	410	0.08
PS428Q01	9	Missing	3142	0.65
PS428Q01	r	Not reached	2979	0.61
PS428Q03	1	No credit	17697	3.65
PS428Q03	2	No credit	15996	3.29
PS428Q03	3	No credit	7122	1.47
PS428Q03	4	Full credit	97856	20.16
PS428Q03	7	N/A	337994	69.62
PS428Q03	8	Invalid	1474	0.3
PS428Q03	9	Missing	4161	0.86
PS428Q03	r	Not reached	3190	0.66
PS428Q05	0	No credit	61322	12.63
PS428Q05	1	Full credit	56918	11.72
PS428Q05	7	N/A	338001	69.62
PS428Q05	9	Missing	25839	5.32
PS428Q05	r	Not reached	3410	0.7
PS438Q01T	0	No credit	1105	0.23
PS438Q01T	1	No credit	10312	2.12
PS438Q01T	2	No credit	20750	4.27
PS438Q01T	3	Full credit	107372	22.12
PS438Q01T	7	N/A	339303	69.89
PS438Q01T	8	Invalid	34	0.01
PS438Q01T	9	Missing	1863	0.38
PS438Q01T	r	Not reached	4751	0.98
PS438Q02	1	No credit	8079	1.66
PS438Q02	2	No credit	19030	3.92
PS438Q02	3	No credit	17797	3.67
PS438Q02	4	Full credit	86673	17.85
PS438Q02	7	N/A	339141	69.86
PS438Q02	8	Invalid	1415	0.29
PS438Q02	9	Missing	8337	1.72
PS438Q02	r	Not reached	5018	1.03
PS438Q03D	7	N/A	339211	69.87
PS438Q03D	9	Missing	26916	5.54
PS438Q03D	B	No credit	67947	14
PS438Q03D	G	Full credit	26616	5.48
PS438Q03D	H	Full credit	18992	3.91
PS438Q03D	r	Not reached	5808	1.2
PS465Q01	0	No credit	48900	10.07
PS465Q01	1	Partial credit	35547	7.32
PS465Q01	2	Full credit	41498	8.55
PS465Q01	7	N/A	339103	69.85
PS465Q01	9	Missing	18723	3.86
PS465Q01	r	Not reached	1719	0.35
PS465Q02	1	No credit	20755	4.28
PS465Q02	2	No credit	8126	1.67
PS465Q02	3	Full credit	79118	16.3
PS465Q02	4	No credit	22236	4.58
PS465Q02	7	N/A	339103	69.85
PS465Q02	8	Invalid	7195	1.48
PS465Q02	9	Missing	6840	1.41
PS465Q02	r	Not reached	2117	0.44
PS465Q04	1	No credit	25321	5.22
PS465Q04	2	Full credit	49529	10.2
PS465Q04	3	No credit	24692	5.09
PS465Q04	4	No credit	34833	7.17
PS465Q04	7	N/A	339092	69.85
PS465Q04	8	Invalid	2310	0.48
PS465Q04	9	Missing	7473	1.54
PS465Q04	r	Not reached	2240	0.46
PS466Q01T	0	No credit	3557	0.73
PS466Q01T	1	No credit	12756	2.63
PS466Q01T	2	No credit	27498	5.66
PS466Q01T	3	Full credit	97920	20.17
PS466Q01T	7	N/A	335244	69.05
PS466Q01T	8	Invalid	36	0.01
PS466Q01T	9	Missing	2549	0.53
PS466Q01T	r	Not reached	5930	1.22
PS466Q05	1	No credit	40884	8.42
PS466Q05	2	Full credit	68503	14.11
PS466Q05	3	No credit	23761	4.89
PS466Q05	4	No credit	5526	1.14
PS466Q05	7	N/A	335269	69.06
PS466Q05	8	Invalid	1832	0.38
PS466Q05	9	Missing	2905	0.6
PS466Q05	r	Not reached	6810	1.4
PS466Q07T	0	No credit	14992	3.09
PS466Q07T	1	No credit	32262	6.65
PS466Q07T	2	Full credit	93793	19.32
PS466Q07T	7	N/A	335265	69.06
PS466Q07T	8	Invalid	46	0.01
PS466Q07T	9	Missing	2655	0.55
PS466Q07T	r	Not reached	6477	1.33
PS478Q01	1	No credit	24459	5.04
PS478Q01	2	No credit	17147	3.53
PS478Q01	3	Full credit	61169	12.6
PS478Q01	4	No credit	40332	8.31
PS478Q01	7	N/A	336348	69.28
PS478Q01	8	Invalid	2093	0.43
PS478Q01	9	Missing	1417	0.29
PS478Q01	r	Not reached	2525	0.52
PS478Q02T	0	No credit	12368	2.55
PS478Q02T	1	No credit	28516	5.87
PS478Q02T	2	No credit	31458	6.48
PS478Q02T	3	Full credit	71473	14.72
PS478Q02T	7	N/A	336339	69.28
PS478Q02T	8	Invalid	48	0.01
PS478Q02T	9	Missing	2585	0.53
PS478Q02T	r	Not reached	2703	0.56
PS478Q03T	0	No credit	18027	3.71
PS478Q03T	1	No credit	31938	6.58
PS478Q03T	2	Full credit	94135	19.39
PS478Q03T	7	N/A	336343	69.28
PS478Q03T	8	Invalid	49	0.01
PS478Q03T	9	Missing	1877	0.39
PS478Q03T	r	Not reached	3121	0.64
PS498Q02T	0	No credit	5339	1.1
PS498Q02T	1	No credit	26715	5.5
PS498Q02T	2	No credit	48878	10.07
PS498Q02T	3	Full credit	60766	12.52
PS498Q02T	7	N/A	336347	69.28
PS498Q02T	8	Invalid	70	0.01
PS498Q02T	9	Missing	2938	0.61
PS498Q02T	r	Not reached	4437	0.91
PS498Q03	1	Full credit	53995	11.12
PS498Q03	2	No credit	26050	5.37
PS498Q03	3	No credit	31546	6.5
PS498Q03	4	No credit	22336	4.6
PS498Q03	7	N/A	338295	69.68
PS498Q03	8	Invalid	1849	0.38
PS498Q03	9	Missing	6791	1.4
PS498Q03	r	Not reached	4628	0.95
PS498Q04	0	No credit	48326	9.95
PS498Q04	1	Partial credit	17523	3.61
PS498Q04	2	Full credit	72491	14.93
PS498Q04	7	N/A	336356	69.28
PS498Q04	9	Missing	5664	1.17
PS498Q04	r	Not reached	5130	1.06
PS514Q02	0	No credit	18443	3.8
PS514Q02	1	Full credit	111838	23.04
PS514Q02	7	N/A	339129	69.85
PS514Q02	9	Missing	12373	2.55
PS514Q02	r	Not reached	3707	0.76
PS514Q03	0	No credit	72846	15
PS514Q03	1	Full credit	58149	11.98
PS514Q03	7	N/A	339129	69.85
PS514Q03	9	Missing	11356	2.34
PS514Q03	r	Not reached	4010	0.83
PS514Q04	0	No credit	57911	11.93
PS514Q04	1	Full credit	73728	15.19
PS514Q04	7	N/A	339162	69.86
PS514Q04	9	Missing	10324	2.13
PS514Q04	r	Not reached	4365	0.9
PS519Q01	0	No credit	61550	12.68
PS519Q01	1	Partial credit	29106	6
PS519Q01	2	Full credit	33685	6.94
PS519Q01	7	N/A	336377	69.29
PS519Q01	9	Missing	21168	4.36
PS519Q01	r	Not reached	3604	0.74
PS519Q02T	0	No credit	34902	7.19
PS519Q02T	1	No credit	31086	6.4
PS519Q02T	2	Full credit	74782	15.4
PS519Q02T	7	N/A	336372	69.29
PS519Q02T	8	Invalid	72	0.01
PS519Q02T	9	Missing	4092	0.84
PS519Q02T	r	Not reached	4184	0.86
PS519Q03	0	No credit	89620	18.46
PS519Q03	1	Full credit	32792	6.75
PS519Q03	7	N/A	336380	69.29
PS519Q03	9	Missing	22309	4.6
PS519Q03	r	Not reached	4389	0.9
PS521Q02	1	No credit	36162	7.45
PS521Q02	2	Full credit	72471	14.93
PS521Q02	3	No credit	21767	4.48
PS521Q02	4	No credit	12112	2.49
PS521Q02	7	N/A	336374	69.29
PS521Q02	8	Invalid	1030	0.21
PS521Q02	9	Missing	2361	0.49
PS521Q02	r	Not reached	3213	0.66
PS521Q06	1	No credit	3143	0.65
PS521Q06	2	Full credit	124497	25.64
PS521Q06	3	No credit	6581	1.36
PS521Q06	4	No credit	8618	1.78
PS521Q06	7	N/A	336373	69.29
PS521Q06	8	Invalid	514	0.11
PS521Q06	9	Missing	2269	0.47
PS521Q06	r	Not reached	3495	0.72
PS527Q01T	0	No credit	14906	3.07
PS527Q01T	1	No credit	37679	7.76
PS527Q01T	2	No credit	64225	13.23
PS527Q01T	3	Full credit	21234	4.37
PS527Q01T	7	N/A	336573	69.33
PS527Q01T	8	Invalid	685	0.14
PS527Q01T	9	Missing	5391	1.11
